raceId,driverId,constructorId,grid,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId
928,831,15,9,8,4.0,56,0 days 01:40:04.633000,6004633.0,46.0,12.0,0 days 00:01:43.692000,189.248,1
928,817,9,7,9,2.0,56,0 days 01:40:14.125000,6014125.0,46.0,9.0,0 days 00:01:43.245000,190.068,1
928,828,15,10,10,1.0,55,0 days 00:00:00,0.0,32.0,15.0,0 days 00:01:44.204000,188.319,11
928,815,10,15,11,0.0,55,0 days 00:00:00,0.0,44.0,10.0,0 days 00:01:43.512000,189.578,11
928,4,1,18,12,0.0,55,0 days 00:00:00,0.0,40.0,13.0,0 days 00:01:43.728000,189.183,11
928,832,5,14,13,0.0,55,0 days 00:00:00,0.0,41.0,3.0,0 days 00:01:42.652000,191.166,11
928,18,1,17,14,0.0,55,0 days 00:00:00,0.0,21.0,16.0,0 days 00:01:44.991000,186.907,11
928,829,209,19,15,0.0,54,0 days 00:00:00,0.0,40.0,17.0,0 days 00:01:45.414000,186.157,12
928,833,209,20,16,0.0,54,0 days 00:00:00,0.0,43.0,19.0,0 days 00:01:45.963000,185.192,12
928,830,5,13,17,0.0,52,0 days 00:00:00,0.0,46.0,14.0,0 days 00:01:43.880000,188.906,7
928,813,208,11,18,0.0,49,0 days 00:00:00,0.0,37.0,11.0,0 days 00:01:43.686000,189.259,23
928,826,9,12,19,0.0,15,0 days 00:00:00,0.0,13.0,20.0,0 days 00:01:46.291000,184.621,131
928,807,10,16,20,0.0,9,0 days 00:00:00,0.0,6.0,18.0,0 days 00:01:45.844000,185.401,6
